Date,Open,High,Low,Close
2020-12-25,58.90,62.40,58.30,61.90
2020-12-24,59.00,59.60,57.00,58.40
2020-12-23,57.30,60.00,56.90,58.60
2020-12-22,57.10,57.40,56.80,56.90
2020-12-21,57.60,57.80,56.90,57.10
2020-12-18,57.00,57.70,56.60,57.10
2020-12-17,58.40,58.60,57.00,57.00
